yeat,temperature,uncertainity,state,country,lang,lat
1826/04/01,27.794,2.465,Bombay,India,18.48N,72.68E
1826/05/01,29.495,1.369,Bombay,India,18.48N,72.68E
1826/06/01,27.693,2.323,Bombay,India,18.48N,72.68E
1826/07/01,27.27,1.271,Bombay,India,18.48N,72.68E
1826/08/01,25.575,1.294,Bombay,India,18.48N,72.68E
1826/09/01,26.16,1.913,Bombay,India,18.48N,72.68E
1826/10/01,27.247,2.18,Bombay,India,18.48N,72.68E
1826/11/01,27.845,1.388,Bombay,India,18.48N,72.68E
1826/12/01,26.910999999999998,2.418,Bombay,India,18.48N,72.68E
1827/01/01,25.095,2.757,Bombay,India,18.48N,72.68E
1827/02/01,24.45,1.602,Bombay,India,18.48N,72.68E
1827/03/01,26.132,2.137,Bombay,India,18.48N,72.68E
1827/04/01,28.053,2.958,Bombay,India,18.48N,72.68E
1827/05/01,28.458,2.4730000000000003,Bombay,India,18.48N,72.68E
1827/06/01,28.339,2.08,Bombay,India,18.48N,72.68E
1827/07/01,27.381999999999998,1.366,Bombay,India,18.48N,72.68E
1827/08/01,26.127,1.357,Bombay,India,18.48N,72.68E
1827/09/01,25.846999999999998,1.167,Bombay,India,18.48N,72.68E
1827/10/01,26.823,1.33,Bombay,India,18.48N,72.68E
1827/11/01,27.807,1.399,Bombay,India,18.48N,72.68E
1827/12/01,25.421,3.257,Bombay,India,18.48N,72.68E
1828/01/01,23.608,3.069,Bombay,India,18.48N,72.68E
1828/02/01,23.6,2.318,Bombay,India,18.48N,72.68E
1828/03/01,25.656999999999996,2.185,Bombay,India,18.48N,72.68E
1828/04/01,27.116,2.082,Bombay,India,18.48N,72.68E
1828/05/01,28.531,2.261,Bombay,India,18.48N,72.68E
1828/06/01,29.081000000000003,2.108,Bombay,India,18.48N,72.68E
1828/07/01,27.256999999999998,1.421,Bombay,India,18.48N,72.68E
1828/08/01,26.13,1.6740000000000002,Bombay,India,18.48N,72.68E
1828/09/01,25.086,1.155,Bombay,India,18.48N,72.68E
1828/10/01,26.956,1.5630000000000002,Bombay,India,18.48N,72.68E
1828/11/01,27.69,1.66,Bombay,India,18.48N,72.68E
1828/12/01,25.826999999999998,2.318,Bombay,India,18.48N,72.68E
1829/01/01,24.141,1.686,Bombay,India,18.48N,72.68E
1829/02/01,22.953000000000003,2.597,Bombay,India,18.48N,72.68E
1829/03/01,25.365,1.608,Bombay,India,18.48N,72.68E
1829/04/01,26.971999999999998,1.45,Bombay,India,18.48N,72.68E
1829/05/01,28.774,2.942,Bombay,India,18.48N,72.68E
